tickerId,unSymbol,symbol,direction,strikePrice,Ask_Price,Ask_Volume,Bid_Price,Bid_Volume,expireDate,tradeTime,tradeStamp,impVol,volume,close,preClose,open,high,low,delta,vega,gamma,theta,rho,changeRatio,change,weekly,activeLevel,openIntChange
1019265083,VXX,VXX210401P00017000,put,17,6.35,30,6.25,20,2021-04-01,2021-03-29T14:30:01.444+0000,1617028230770,0.7786,12,4.79,5.18,5.03,5.03,4.79,-0.9691,0.0009,0.0338,-0.0180,-0.0018,-0.0753,-0.39,1,10,112.0
1019265086,VXX,VXX210401C00017500,call,17.5,6.35,30,6.25,20,2021-04-01,2021-03-29T13:50:02.746+0000,1617028229774,1.2814,36,0.05,0.04,0.04,0.05,0.04,0.0285,0.0008,0.0296,-0.0179,0.0000,0.2500,0.01,1,11,2170.0
1019265087,VXX,VXX210401P00017500,put,17.5,6.35,30,6.25,20,2021-04-01,2021-03-29T14:21:27.446+0000,1617028228187,,68,5.30,5.60,5.55,5.55,5.30,-0.9714,0.0008,0.0297,-0.0179,-0.0019,-0.0536,-0.30,1,11,81.0
1019265084,VXX,VXX210401C00018000,call,18,6.35,30,6.25,20,2021-04-01,2021-03-29T14:06:03.945+0000,1617028230923,1.3218,457,0.06,0.04,0.03,0.06,0.03,0.0263,0.0008,0.0262,-0.0177,0.0000,0.5000,0.02,1,12,395.0
1019265085,VXX,VXX210401P00018000,put,18,6.35,30,6.25,20,2021-04-01,2021-03-29T14:22:02.725+0000,1617028228673,,41,5.85,5.95,6.08,6.10,5.85,-0.9735,0.0008,0.0263,-0.0178,-0.0019,-0.0168,-0.10,1,12,-384.0
1019265091,VXX,VXX210401C00018500,call,18.5,6.35,30,6.25,20,2021-04-01,2021-03-29T14:28:06.939+0000,1617028228413,1.3612,596,0.06,0.03,0.04,0.06,0.04,0.0205,0.0006,0.0209,-0.0146,0.0000,1.0000,0.03,1,13,534.0
1019265090,VXX,VXX210401P00018500,put,18.5,6.35,30,6.25,20,2021-04-01,2021-03-25T14:21:33.000+0000,1617028230312,,0,5.72,5.72,,,,-0.9899,0.0003,0.0128,-0.0070,-0.0020,0.0000,0.00,1,13,0.0
1019265081,VXX,VXX210401C00019000,call,19,6.35,30,6.25,20,2021-04-01,2021-03-29T14:26:34.701+0000,1617028228865,1.4025,283,0.06,0.04,0.03,0.07,0.03,0.0161,0.0005,0.0167,-0.0121,0.0000,0.5000,0.02,1,14,176.0
1019265079,VXX,VXX210401P00019000,put,19,6.35,30,6.25,20,2021-04-01,2021-03-25T14:49:34.000+0000,1617028230312,,0,5.86,5.86,,,,-0.9905,0.0003,0.0115,-0.0070,-0.0021,0.0000,0.00,1,14,0.0
1019265095,VXX,VXX210401C00019500,call,19.5,6.35,30,6.25,20,2021-04-01,2021-03-29T14:28:17.757+0000,1617028230432,1.4311,25,0.07,0.03,0.07,0.07,0.07,0.0150,0.0005,0.0150,-0.0119,0.0000,1.3333,0.04,1,15,1203.0
