,tickerId,unSymbol,symbol,direction,strikePrice,ask_price,ask_volume,bid_price,bid_volume,expireDate,tradeTime,tradeStamp,volume,close,preClose,open,high,low,delta,vega,gamma,theta,rho,changeRatio,change,weekly,activeLevel,openIntChange
55,1019455111,TSLA,TSLA210401P00560000,put,560,0.70,25,0.68,5,2021-04-01,2021-03-30T19:12:57.865+0000,1617131582369,7452,0.68,3.95,4.93,8.00,0.67,0.0000,0.0000,0.0000,0.0000,0.0000,-0.8278,-3.27,1,16,820.0
56,1019455113,TSLA,TSLA210401C00570000,call,570,60.90,7,60.55,6,2021-04-01,2021-03-30T19:12:56.223+0000,1617131582458,628,60.25,45.85,40.15,63.10,31.80,1.0000,0.0000,0.0000,-0.0015,0.0468,0.3141,14.40,1,15,15.0
57,1019455115,TSLA,TSLA210401P00570000,put,570,1.00,10,0.97,21,2021-04-01,2021-03-30T19:12:57.865+0000,1617131581389,5639,1.02,5.00,6.68,10.45,0.97,0.0000,0.0000,0.0000,0.0000,0.0000,-0.7960,-3.98,1,15,1189.0
58,1020036403,TSLA,TSLA210401C00575000,call,575,56.10,4,55.80,1,2021-04-01,2021-03-30T19:11:14.653+0000,1617131581704,398,56.65,42.25,36.25,57.35,28.20,1.0000,0.0000,0.0000,-0.0015,0.0473,0.3408,14.40,1,14,59.0
59,1020036404,TSLA,TSLA210401P00575000,put,575,1.22,13,1.20,20,2021-04-01,2021-03-30T19:12:33.324+0000,1617131582042,4715,1.19,6.20,7.60,11.95,1.17,0.0000,0.0000,0.0000,0.0000,0.0000,-0.8081,-5.01,1,14,454.0
60,1019455109,TSLA,TSLA210401C00580000,call,580,51.40,9,51.05,12,2021-04-01,2021-03-30T19:11:51.985+0000,1617131582058,2291,51.70,37.35,32.39,53.50,25.00,1.0000,0.0000,0.0000,-0.0015,0.0477,0.3842,14.35,1,13,72.0
61,1019455108,TSLA,TSLA210401P00580000,put,580,1.51,38,1.49,1,2021-04-01,2021-03-30T19:12:08.727+0000,1617131581644,15046,1.46,6.90,8.93,13.65,1.45,0.0000,0.0000,0.0000,0.0000,0.0000,-0.7884,-5.44,1,13,-191.0
62,1020036405,TSLA,TSLA210401C00585000,call,585,46.75,7,46.40,13,2021-04-01,2021-03-30T19:10:58.959+0000,1617131582605,553,47.05,33.50,28.00,49.00,21.70,1.0000,0.0000,0.0000,-0.0015,0.0481,0.4045,13.55,1,12,103.0
63,1020036402,TSLA,TSLA210401P00585000,put,585,1.86,2,1.83,15,2021-04-01,2021-03-30T19:12:58.409+0000,1617131582742,5005,1.89,8.30,9.90,15.49,1.79,0.0000,0.0000,0.0000,0.0000,0.0000,-0.7723,-6.41,1,12,274.0
64,1019455116,TSLA,TSLA210401C00590000,call,590,42.20,4,41.90,3,2021-04-01,2021-03-30T19:13:01.941+0000,1617131581941,5056,42.11,30.50,24.25,46.17,18.80,1.0000,0.0000,0.0000,-0.0015,0.0485,0.3807,11.61,1,11,96.0
