,open,high,low,close,adjclose,volume,ticker
2018-02-07,5.974999904632568,6.099999904632568,5.760000228881836,5.849999904632568,5.849999904632568,154400,GRWG
2018-02-08,5.824999809265137,5.920000076293945,5.309999942779541,5.650000095367432,5.650000095367432,118400,GRWG
2018-02-09,5.570000171661377,5.909999847412109,5.059999942779541,5.699999809265137,5.699999809265137,178100,GRWG
2018-02-12,5.849999904632568,5.889999866485596,5.449999809265137,5.5,5.5,82800,GRWG
2018-02-13,5.599999904632568,5.699999809265137,5.210000038146973,5.53000020980835,5.53000020980835,91900,GRWG
2018-02-14,5.78000020980835,5.78000020980835,5.449999809265137,5.570000171661377,5.570000171661377,95600,GRWG
2018-02-15,5.5960001945495605,5.739999771118164,5.159999847412109,5.360000133514404,5.360000133514404,117400,GRWG
2018-02-16,5.360000133514404,5.360000133514404,5.079999923706055,5.110000133514404,5.110000133514404,125800,GRWG
2018-02-20,5.179999828338623,5.409999847412109,5.03000020980835,5.099999904632568,5.099999904632568,99300,GRWG
2018-02-21,5.110000133514404,5.380000114440918,5.019999980926514,5.099999904632568,5.099999904632568,45700,GRWG
2018-02-22,5.150000095367432,5.179999828338623,4.809999942779541,4.980000019073486,4.980000019073486,91300,GRWG
2018-02-23,4.900000095367432,4.900000095367432,4.400000095367432,4.510000228881836,4.510000228881836,293300,GRWG
2018-02-26,4.505000114440918,4.510000228881836,4.010000228881836,4.130000114440918,4.130000114440918,248500,GRWG
2018-02-27,4.130000114440918,4.150000095367432,3.6500000953674316,3.799999952316284,3.799999952316284,303100,GRWG
2018-02-28,3.799999952316284,4.28000020980835,3.690000057220459,4.179999828338623,4.179999828338623,131600,GRWG
2018-03-01,4.21999979019165,4.289999961853027,4.099999904632568,4.210000038146973,4.210000038146973,52800,GRWG
2018-03-02,4.175000190734863,4.25,4.139999866485596,4.21999979019165,4.21999979019165,38900,GRWG
2018-03-05,4.150000095367432,4.329999923706055,4.150000095367432,4.28000020980835,4.28000020980835,48200,GRWG
2018-03-06,4.340000152587891,4.829999923706055,4.309999942779541,4.349999904632568,4.349999904632568,90200,GRWG
2018-03-07,4.300000190734863,4.599999904632568,4.300000190734863,4.53000020980835,4.53000020980835,45600,GRWG
2018-03-08,4.449999809265137,4.550000190734863,4.449999809265137,4.550000190734863,4.550000190734863,50300,GRWG
2018-03-09,4.534999847412109,4.739999771118164,4.28000020980835,4.639999866485596,4.639999866485596,90900,GRWG
2018-03-12,4.639999866485596,4.75,4.630000114440918,4.710000038146973,4.710000038146973,83400,GRWG
2018-03-13,4.75,4.75,4.699999809265137,4.739999771118164,4.739999771118164,59000,GRWG
2018-03-14,4.78000020980835,5.0,4.650000095367432,4.650000095367432,4.650000095367432,49600,GRWG
2018-03-15,4.699999809265137,4.869999885559082,4.599999904632568,4.619999885559082,4.619999885559082,39800,GRWG
2018-03-16,4.650000095367432,4.650000095367432,4.309999942779541,4.5,4.5,42300,GRWG
2018-03-19,4.429999828338623,4.5,4.159999847412109,4.489999771118164,4.489999771118164,111200,GRWG
2018-03-20,4.489999771118164,4.5,4.239999771118164,4.349999904632568,4.349999904632568,19500,GRWG
2018-03-21,4.349999904632568,4.510000228881836,4.150000095367432,4.224999904632568,4.224999904632568,32300,GRWG
2018-03-22,4.159999847412109,4.2179999351501465,4.059999942779541,4.170000076293945,4.170000076293945,47400,GRWG
2018-03-23,4.170000076293945,4.199999809265137,4.0,4.070000171661377,4.070000171661377,62900,GRWG
2018-03-26,3.9600000381469727,4.0,3.7899999618530273,4.0,4.0,116400,GRWG
2018-03-27,4.0,4.440000057220459,3.7799999713897705,4.380000114440918,4.380000114440918,102200,GRWG
2018-03-28,4.119999885559082,4.480000019073486,3.8499999046325684,4.28000020980835,4.28000020980835,78600,GRWG
2018-03-29,4.150000095367432,4.349999904632568,4.010000228881836,4.070000171661377,4.070000171661377,67800,GRWG
2018-04-02,4.059999942779541,4.110000133514404,3.6500000953674316,3.75,3.75,146700,GRWG
2018-04-03,3.7799999713897705,4.25,3.5299999713897705,3.5999999046325684,3.5999999046325684,82200,GRWG
2018-04-04,3.5850000381469727,3.5999999046325684,3.0999999046325684,3.5899999141693115,3.5899999141693115,168100,GRWG
2018-04-05,3.5199999809265137,3.5899999141693115,3.309999942779541,3.5,3.5,98400,GRWG
2018-04-06,3.309999942779541,3.4000000953674316,3.25,3.299999952316284,3.299999952316284,153300,GRWG
2018-04-09,3.3499999046325684,3.7200000286102295,3.2899999618530273,3.440000057220459,3.440000057220459,28600,GRWG
2018-04-10,3.5,3.5,3.2699999809265137,3.359999895095825,3.359999895095825,85900,GRWG
2018-04-11,3.369999885559082,3.5999999046325684,3.299999952316284,3.450000047683716,3.450000047683716,62300,GRWG
2018-04-12,3.4700000286102295,3.9700000286102295,3.4700000286102295,3.869999885559082,3.869999885559082,104600,GRWG
2018-04-13,4.045000076293945,4.800000190734863,3.7200000286102295,4.579999923706055,4.579999923706055,269500,GRWG
2018-04-16,5.125,5.489999771118164,4.829999923706055,4.829999923706055,4.829999923706055,407200,GRWG
2018-04-17,4.78000020980835,4.78000020980835,4.309999942779541,4.309999942779541,4.309999942779541,183500,GRWG
2018-04-18,4.425000190734863,4.550000190734863,4.150000095367432,4.400000095367432,4.400000095367432,86600,GRWG
2018-04-19,4.369999885559082,4.730000019073486,4.369999885559082,4.5,4.5,96700,GRWG
2018-04-20,4.590000152587891,4.980000019073486,4.510000228881836,4.75,4.75,93900,GRWG
2018-04-23,4.699999809265137,4.829999923706055,4.119999885559082,4.489999771118164,4.489999771118164,121300,GRWG
2018-04-24,4.260000228881836,4.400000095367432,4.130000114440918,4.199999809265137,4.199999809265137,69500,GRWG
2018-04-25,4.190000057220459,4.230000019073486,3.944999933242798,4.170000076293945,4.170000076293945,104100,GRWG
2018-04-26,4.110000133514404,4.429999828338623,4.110000133514404,4.389999866485596,4.389999866485596,60100,GRWG
2018-04-27,4.75,4.789999961853027,4.519999980926514,4.699999809265137,4.699999809265137,196500,GRWG
2018-04-30,4.909999847412109,5.099999904632568,4.75,4.949999809265137,4.949999809265137,207000,GRWG
2018-05-01,5.099999904632568,5.110000133514404,4.71999979019165,4.800000190734863,4.800000190734863,114400,GRWG
2018-05-02,5.168000221252441,5.170000076293945,4.730000019073486,4.940000057220459,4.940000057220459,104800,GRWG
2018-05-03,4.940000057220459,5.099999904632568,4.889999866485596,4.949999809265137,4.949999809265137,46800,GRWG
2018-05-04,4.940000057220459,5.059999942779541,4.840000152587891,4.869999885559082,4.869999885559082,49900,GRWG
2018-05-07,4.900000095367432,5.050000190734863,4.900000095367432,4.949999809265137,4.949999809265137,45400,GRWG
2018-05-08,4.989999771118164,5.170000076293945,4.929999828338623,4.980000019073486,4.980000019073486,71500,GRWG
2018-05-09,5.063000202178955,5.489999771118164,5.039999961853027,5.150000095367432,5.150000095367432,179800,GRWG
