,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-08-06,2.2083330154418945,2.3125,2.1875,2.25,2.25,1243200,AMZN,4.155434,2.3177080154418945,1.9054341316223145,0.0
1997-08-07,2.25,2.2604169845581055,2.125,2.1770830154418945,2.1770830154418945,2034000,AMZN,5.6278667,2.375,3.4507837295532227,0.0
1997-08-18,2.0520830154418945,2.0520830154418945,1.96875,2.0416669845581055,2.0416669845581055,1784400,AMZN,3.689434,3.239583015441894,1.6477670669555664,0.0
1997-08-19,2.09375,2.2083330154418945,2.0520830154418945,2.1666669845581055,2.1666669845581055,1003200,AMZN,4.2921467,3.302083015441894,2.1254796981811523,0.0
1997-08-21,2.1354169845581055,2.171875,2.0729169845581055,2.1145830154418945,2.1145830154418945,624000,AMZN,4.4333825,3.6875,2.3187994956970215,0.0
1997-09-05,2.5833330154418945,2.6666669845581055,2.4583330154418945,2.5,2.5,1908000,AMZN,3.9204614,4.1666669845581055,1.4204614162445068,0.0
1997-09-08,2.53125,3.0208330154418945,2.5,3.0,3.0,5648400,AMZN,4.8858643,4.0416669845581055,1.8858642578125,0.0
1997-09-10,3.3125,3.328125,3.125,3.3020830154418945,3.3020830154418945,3866400,AMZN,1.2744803,4.0208330154418945,-2.0276026725769043,0.0
1997-09-12,3.1875,3.6979169845581055,3.15625,3.6875,3.6875,3333600,AMZN,6.1797132,4.015625,2.492213249206543,0.0
1997-09-15,3.6666669845581055,3.6770830154418945,3.0520830154418945,3.09375,3.09375,5583600,AMZN,5.639807,4.125,2.5460572242736816,0.0
1997-09-17,3.4583330154418945,3.5,3.3333330154418945,3.40625,3.40625,2607600,AMZN,3.5232646,4.0052080154418945,0.11701464653015137,0.0
1997-09-22,4.0,4.6770830154418945,3.9479169845581055,4.5,4.5,16938000,AMZN,3.60101,4.0,0.0,0.8989899158477783
1997-09-29,4.1458330154418945,4.1875,3.9583330154418945,4.0416669845581055,4.0416669845581055,2371200,AMZN,5.7126083,3.8229169845581055,0.0,-1.6709413528442383
1997-10-06,4.0,4.125,3.9427080154418945,4.125,4.125,2028000,AMZN,5.2268825,4.2708330154418945,1.1018824577331543,0.0
1997-10-17,3.6145830154418945,3.65625,3.5208330154418945,3.625,3.625,2534400,AMZN,5.7044024,4.4791669845581055,2.079402446746826,0.0
1997-10-21,3.9583330154418945,4.4375,3.8541669845581055,4.4270830154418945,4.4270830154418945,12096000,AMZN,7.5424705,3.9479169845581055,0.0,-3.115387439727783
1997-10-31,5.3645830154418945,5.4583330154418945,4.96875,5.0833330154418945,5.0833330154418945,5026800,AMZN,7.5576725,4.4895830154418945,0.0,-2.474339485168457
1997-11-05,4.9791669845581055,5.1197919845581055,4.875,4.875,4.875,3093600,AMZN,7.419119,4.2604169845581055,0.0,-2.544118881225586
1997-11-07,4.4166669845581055,4.640625,4.3854169845581055,4.4791669845581055,4.4791669845581055,2626800,AMZN,6.4446163,4.2708330154418945,0.0,-1.965449333190918
1997-11-17,4.2291669845581055,4.5416669845581055,4.21875,4.375,4.375,7394400,AMZN,8.324503,4.6875,3.949502944946289,0.0
1997-11-18,4.375,4.4791669845581055,4.34375,4.4166669845581055,4.4166669845581055,1866000,AMZN,5.6526947,4.5104169845581055,1.236027717590332,0.0
1997-11-20,4.5729169845581055,4.6041669845581055,4.5104169845581055,4.5833330154418945,4.5833330154418945,5923200,AMZN,8.0370865,4.5416669845581055,0.0,-3.4537534713745117
1997-12-02,4.2604169845581055,4.3020830154418945,4.1770830154418945,4.234375,4.234375,1262400,AMZN,7.1237593,4.625,2.8893842697143555,0.0
1997-12-04,4.4010419845581055,4.5520830154418945,4.3854169845581055,4.5,4.5,3038400,AMZN,7.6570373,4.5208330154418945,3.1570372581481934,0.0
1997-12-16,4.6458330154418945,4.6458330154418945,4.4583330154418945,4.4583330154418945,4.4583330154418945,1687200,AMZN,7.918995,4.6145830154418945,3.4606618881225586,0.0
1997-12-18,4.3541669845581055,4.4270830154418945,4.2291669845581055,4.2916669845581055,4.2916669845581055,3204000,AMZN,3.8194659,4.3020830154418945,-0.4722011089324951,0.0
1998-01-08,4.6979169845581055,4.703125,4.53125,4.6145830154418945,4.6145830154418945,6015600,AMZN,7.2680464,4.9166669845581055,2.653463363647461,0.0
1998-01-21,4.9375,5.1666669845581055,4.875,5.0729169845581055,5.0729169845581055,8738400,AMZN,7.9345126,5.2916669845581055,2.861595630645752,0.0
1998-01-27,4.8177080154418945,4.8645830154418945,4.6666669845581055,4.75,4.75,4104000,AMZN,6.2547235,5.0729169845581055,1.5047235488891602,0.0
1998-02-18,5.1458330154418945,5.1458330154418945,5.0520830154418945,5.0729169845581055,5.0729169845581055,2971200,AMZN,6.296437,6.6354169845581055,1.2235198020935059,0.0
1998-02-20,5.2291669845581055,5.2916669845581055,5.1145830154418945,5.2708330154418945,5.2708330154418945,2703600,AMZN,8.982132,6.5572919845581055,3.711298942565918,0.0
1998-02-23,5.2916669845581055,5.4166669845581055,5.2083330154418945,5.40625,5.40625,3978000,AMZN,8.28016,6.5833330154418945,2.8739099502563477,0.0
1998-02-25,5.46875,5.5416669845581055,5.2604169845581055,5.4895830154418945,5.4895830154418945,6745200,AMZN,2.655228,7.109375,-2.834355115890503,0.0
1998-03-02,6.3229169845581055,6.4375,6.25,6.3541669845581055,6.3541669845581055,10957200,AMZN,2.4229379,6.984375,-3.9312291145324707,0.0
1998-03-03,6.2916669845581055,6.3125,5.9583330154418945,5.9791669845581055,5.9791669845581055,8016000,AMZN,5.873465,7.020833015441895,-0.10570192337036133,0.0
